x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_value__valeur_periode,period_group__groupe_periode,province__province,date,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_max__temp_max,temp_max_units__temp_max_unites,temp_min__temp_min,temp_min_units__temp_min_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-120.45,50.7,50.7,-120.45,1163781.2000.04,1163781,Apr,Monthly,BC,2000-04,10.2,C,16.9,C,3.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-122.37,49.03,49.03,-122.37,1100031.2013.03,1100031,Mar,Monthly,BC,2013-03,7.4,C,11.7,C,3.1,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-130.63,53.5,53.5,-130.63,1060R0K.1996.12,1060R0K,Dec,Monthly,BC,1996-12,,C,,C,,C,,mm,,mm,,mm,1004.9,hPa,-9999.9,hPa,,kph
-114.92,52.42,52.42,-114.92,3015523.1997.08,3015523,Aug,Monthly,AB,1997-08,14.1,C,20.7,C,7.4,C,87.2,mm,87.2,mm,0,mm,1016.6,hPa,-9999.9,hPa,,kph
-136.22,66.98,66.98,-136.22,2100935.2013.09,2100935,Sep,Monthly,YT,2013-09,,C,,C,,C,,mm,,mm,,mm,1007.4,hPa,919.4,hPa,,kph
-72.73,46.57,46.57,-72.73,7018001.2010.10,7018001,Oct,Monthly,QC,2010-10,6.5,C,10.9,C,2.1,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-57.5811,50.2364,50.2364,-57.5811,8401400.2005.12,8401400,Dec,Monthly,NL,2005-12,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,1005.4,hPa,1003,hPa,24.2,kph
-132.77,53.32,53.32,-132.77,1054222.2009.07,1054222,Jul,Monthly,BC,2009-07,,C,,C,,C,,mm,,mm,,mm,1020.6,hPa,1018.9,hPa,,kph
-75.6692,45.3225,45.3225,-75.6692,6106000.2010.02,6106000,Feb,Monthly,ON,2010-02,,C,,C,,C,,mm,,mm,,mm,1010.5,hPa,996.3,hPa,18.3,kph
-107.92,51.57,51.57,-107.92,4046884.1994.09,4046884,Sep,Monthly,SK,1994-09,14.1,C,23.6,C,4.5,C,,mm,,mm,,mm,1015.1,hPa,-9999.9,hPa,,kph
-114.98,55.35,55.35,-114.98,3066920.2008.05,3066920,May,Monthly,AB,2008-05,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-122.68,49.2,49.2,-122.68,1106178.1993.10,1106178,Oct,Monthly,BC,1993-10,11.7,C,17.7,C,5.7,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-58.9667,47.5833,47.5833,-58.9667,8402450.1992.04,8402450,Apr,Monthly,NL,1992-04,,C,,C,,C,87.5,mm,55.6,mm,31.9,mm,,hPa,,hPa,,kph
-64.6838,46.1053,46.1053,-64.6838,8103200.1993.11,8103200,Nov,Monthly,NB,1993-11,,C,,C,,C,97.5,mm,87,mm,10.5,mm,1018,hPa,1009.1,hPa,19.8,kph
-83.1,42.1,42.1,-83.1,6130257.2005.09,6130257,Sep,Monthly,ON,2005-09,20.3,C,25.7,C,14.9,C,60,mm,60,mm,0,mm,,hPa,,hPa,,kph
-133.0264,69.4333,69.4333,-133.0264,2203912.2000.11,2203912,Nov,Monthly,NT,2000-11,,C,,C,,C,,mm,,mm,,mm,1016.6,hPa,1016,hPa,13.3,kph
-124.5542,49.8761,49.8761,-124.5542,1046390.1992.06,1046390,Jun,Monthly,BC,1992-06,,C,,C,,C,69.5,mm,69.5,mm,0,mm,,hPa,,hPa,,kph
-121.24,60.44,60.44,-121.24,220CQHR.1997.02,220CQHR,Feb,Monthly,NT,1997-02,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-76.5967,44.2186,44.2186,-76.5967,6104146.2010.04,6104146,Apr,Monthly,ON,2010-04,,C,,C,,C,,mm,,mm,,mm,1013.2,hPa,1001.9,hPa,14.9,kph
-101.68,54.68,54.68,-101.68,5050919.1991.07,5050919,Jul,Monthly,MB,1991-07,18.4,C,24,C,12.9,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-127.64,50.95,50.95,-127.64,1063461.1999.12,1063461,Dec,Monthly,BC,1999-12,,C,,C,,C,,mm,,mm,,mm,1017.7,hPa,-9999.9,hPa,,kph
-53.0764,46.66,46.66,-53.0764,8401000.2011.02,8401000,Feb,Monthly,NL,2011-02,,C,,C,,C,,mm,,mm,,mm,1003.6,hPa,1000.3,hPa,34.8,kph
-122.67,53.88,53.88,-122.67,1096453.2000.06,1096453,Jun,Monthly,BC,2000-06,13.5,C,19.5,C,7.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-97.0167,50.6333,50.6333,-97.0167,5031039.2011.04,5031039,Apr,Monthly,MB,2011-04,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-72.78,47.42,47.42,-72.78,707DBD4.2006.01,707DBD4,Jan,Monthly,QC,2006-01,-10.2,C,-4.2,C,-16.1,C,,mm,,mm,,mm,1014.3,hPa,992.9,hPa,,kph
-66.0886,43.8308,43.8308,-66.0886,8206500.2009.10,8206500,Oct,Monthly,NS,2009-10,,C,,C,,C,165.5,mm,165.5,mm,0,mm,1015.9,hPa,1010.6,hPa,17.4,kph
-121.35,61.8667,61.8667,-121.35,2202100.2006.06,2202100,Jun,Monthly,NT,2006-06,,C,,C,,C,,mm,,mm,,mm,,hPa,,hPa,9.1,kph
-56.0833,49.5,49.5,-56.0833,8403700.1995.04,8403700,Apr,Monthly,NL,1995-04,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-64.95,45.6,45.6,-64.95,8101746.2000.12,8101746,Dec,Monthly,NB,2000-12,-4.7,C,-0.3,C,-9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-54.57,48.95,48.95,-54.57,8401705.2007.12,8401705,Dec,Monthly,NL,2007-12,-6.2,C,-3.3,C,-9.1,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-132.13,54.03,54.03,-132.13,1054929.2001.07,1054929,Jul,Monthly,BC,2001-07,-9999.9,C,-9999.9,C,-9999.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-117.52,49.47,49.47,-117.52,1147620.1996.08,1147620,Aug,Monthly,BC,1996-08,19.9,C,30.5,C,9.2,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-127.47,52.19,52.19,-127.47,1061458.1995.04,1061458,Apr,Monthly,BC,1995-04,,C,,C,,C,,mm,,mm,,mm,1014.4,hPa,-9999.9,hPa,,kph
-103.92,51.98,51.98,-103.92,4015960.2000.09,4015960,Sep,Monthly,SK,2000-09,11.2,C,17.4,C,4.8,C,35.6,mm,35.5,mm,0.1,mm,,hPa,,hPa,,kph
-113.75,52.45,52.45,-113.75,3023722.2016.06,3023722,Jun,Monthly,AB,2016-06,15.2,C,22.8,C,7.6,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-80.65,51.2667,51.2667,-80.65,6075425.1993.10,6075425,Oct,Monthly,ON,1993-10,,C,,C,,C,70.2,mm,39.5,mm,30.7,mm,-9999.9,hPa,-9999.9,hPa,-9999.9,kph
-129.7333,53.9833,53.9833,-129.7333,1062790.1994.07,1062790,Jul,Monthly,BC,1994-07,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-118.05,49.4167,49.4167,-118.05,1142400.2006.05,1142400,May,Monthly,BC,2006-05,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-132.45,61.98,61.98,-132.45,2100941.1991.11,2100941,Nov,Monthly,YT,1991-11,-15.4,C,-10.2,C,-20.5,C,31.8,mm,0,mm,31.8,mm,,hPa,,hPa,,kph
-65.72,66.15,66.15,-65.72,2403049.2019.03,2403049,Mar,Monthly,NU,2019-03,-21.7,C,-17.6,C,-25.8,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-77.7,53.63,53.63,-77.7,7093716.2018.09,7093716,Sep,Monthly,QC,2018-09,7,C,11.3,C,2.7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-99.27,53.18,53.18,-99.27,5031A10.1998.12,5031A10,Dec,Monthly,MB,1998-12,-15.9,C,-11.3,C,-20.5,C,,mm,,mm,,mm,1018.2,hPa,-9999.9,hPa,,kph
-111.12,58.77,58.77,-111.12,3072659.1994.10,3072659,Oct,Monthly,AB,1994-10,3.4,C,7.2,C,-0.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-98.8028,50.4139,50.4139,-98.8028,5041535.2001.09,5041535,Sep,Monthly,MB,2001-09,,C,,C,,C,31.9,mm,31.9,mm,0,mm,,hPa,,hPa,,kph
-112.8667,51.4667,51.4667,-112.8667,3022136.2009.01,3022136,Jan,Monthly,AB,2009-01,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-128.7,54.02,54.02,-128.7,1064321.2010.09,1064321,Sep,Monthly,BC,2010-09,13.1,C,17.5,C,8.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-128.12,52.18,52.18,-128.12,1062544.1990.07,1062544,Jul,Monthly,BC,1990-07,16.6,C,20.9,C,12.2,C,19.2,mm,19.2,mm,0,mm,,hPa,,hPa,,kph
-80.8,46.63,46.63,-80.8,6068145.2010.05,6068145,May,Monthly,ON,2010-05,14.4,C,21.1,C,7.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-63.17,46.35,46.35,-63.17,830P001.2000.10,830P001,Oct,Monthly,PE,2000-10,9.2,C,12.7,C,5.7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-65.6333,44.5667,44.5667,-65.6333,8200500.2004.02,8200500,Feb,Monthly,NS,2004-02,,C,,C,,C,106.7,mm,27.9,mm,78.8,mm,,hPa,,hPa,,kph
-92.12,62.82,62.82,-92.12,2303401.2013.01,2303401,Jan,Monthly,NU,2013-01,,C,,C,,C,,mm,,mm,,mm,1012.7,hPa,1008.2,hPa,,kph
-124.2856,54.4553,54.4553,-124.2856,1092970.2005.05,1092970,May,Monthly,BC,2005-05,,C,,C,,C,59.7,mm,59.6,mm,0.1,mm,,hPa,,hPa,,kph
-123.73,48.73,48.73,-123.73,1012573.2001.02,1012573,Feb,Monthly,BC,2001-02,3.5,C,7.5,C,-0.6,C,62.6,mm,40,mm,22.7,mm,,hPa,,hPa,,kph
-99.35,49.9,49.9,-99.35,5010547.1999.06,5010547,Jun,Monthly,MB,1999-06,15.8,C,21.2,C,10.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-63.52,44.88,44.88,-63.52,8202251.1991.04,8202251,Apr,Monthly,NS,1991-04,4.5,C,9.6,C,-0.7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-63.17,46.35,46.35,-63.17,830P001.2013.12,830P001,Dec,Monthly,PE,2013-12,-6,C,-2.4,C,-9.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-55.79,47.37,47.37,-55.79,8403255.1992.03,8403255,Mar,Monthly,NL,1992-03,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-63.83,46.43,46.43,-63.83,8300596.2011.09,8300596,Sep,Monthly,PE,2011-09,15.5,C,20.6,C,10.4,C,,mm,,mm,,mm,1015.6,hPa,1014.1,hPa,,kph
-63.52,44.88,44.88,-63.52,8202251.2010.05,8202251,May,Monthly,NS,2010-05,11.3,C,16.7,C,5.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-102.73,50.2,50.2,-102.73,4014040.2004.06,4014040,Jun,Monthly,SK,2004-06,12.9,C,18.3,C,7.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.13,63.6,63.6,-105.13,2202351.2011.10,2202351,Oct,Monthly,NT,2011-10,,C,,C,,C,,mm,,mm,,mm,1012.7,hPa,972.5,hPa,,kph
-84.5094,46.4833,46.4833,-84.5094,6057592.2007.10,6057592,Oct,Monthly,ON,2007-10,,C,,C,,C,149.4,mm,148.9,mm,0.5,mm,1014.6,hPa,991.3,hPa,15.8,kph
-69.72,48.13,48.13,-69.72,7046059.1992.06,7046059,Jun,Monthly,QC,1992-06,12.6,C,16.5,C,8.7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-111.9619,60.0203,60.0203,-111.9619,2202200.1993.01,2202200,Jan,Monthly,NT,1993-01,,C,,C,,C,13.4,mm,0,mm,13.4,mm,1014.8,hPa,987.9,hPa,7.7,kph
-73.75,46.28,46.28,-73.75,7017080.2011.06,7017080,Jun,Monthly,QC,2011-06,16.2,C,23.1,C,9.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-131.02,51.93,51.93,-131.02,1051350.1993.11,1051350,Nov,Monthly,BC,1993-11,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,1018.1,hPa,-9999.9,hPa,,kph
-134.39,62.2019,62.2019,-134.39,2100460.1994.03,2100460,Mar,Monthly,YT,1994-03,,C,,C,,C,10.9,mm,6.4,mm,4.5,mm,,hPa,,hPa,,kph
-93.58,69.55,69.55,-93.58,2403855.2005.01,2403855,Jan,Monthly,NU,2005-01,-33.9,C,-30.1,C,-37.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-126.67,54.4,54.4,-126.67,1073615.1996.05,1073615,May,Monthly,BC,1996-05,7.4,C,13.8,C,1,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-100.98,49.28,49.28,-100.98,501A7AR.2010.01,501A7AR,Jan,Monthly,MB,2010-01,-13.6,C,-9.4,C,-17.8,C,,mm,,mm,,mm,1021.4,hPa,964.7,hPa,,kph
-78.37,44.23,44.23,-78.37,6166415.2013.11,6166415,Nov,Monthly,ON,2013-11,0.1,C,4.9,C,-4.7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-71.02,50.73,50.73,-71.02,7060826.2016.07,7060826,Jul,Monthly,QC,2016-07,15.1,C,19.9,C,10.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-80.27,42.85,42.85,-80.27,6137732.2000.08,6137732,Aug,Monthly,ON,2000-08,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-68.52,70.48,70.48,-68.52,2400804.2013.11,2400804,Nov,Monthly,NU,2013-11,-18.3,C,-15,C,-21.5,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-80.9,44.4,44.4,-80.9,6111467.1993.11,6111467,Nov,Monthly,ON,1993-11,1.6,C,5,C,-1.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-119.28,52.13,52.13,-119.28,1160H99.2001.10,1160H99,Oct,Monthly,BC,2001-10,3.7,C,8.6,C,-1.2,C,,mm,,mm,,mm,1017.7,hPa,935.6,hPa,,kph
-68.63,47.57,47.57,-68.63,7057720.1999.10,7057720,Oct,Monthly,QC,1999-10,-9999.9,C,-9999.9,C,-9999.9,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-115.14,67.82,67.82,-115.14,2300902.1992.11,2300902,Nov,Monthly,NU,1992-11,,C,,C,,C,35.5,mm,0.6,mm,34.9,mm,1015.1,hPa,1012.1,hPa,,kph
-56.6,48.77,48.77,-56.6,8401550.1992.12,8401550,Dec,Monthly,NL,1992-12,-6.2,C,-1.6,C,-10.8,C,119.5,mm,39.1,mm,80.3,mm,,hPa,,hPa,,kph
-52.75,47.62,47.62,-52.75,8403505.2006.05,8403505,May,Monthly,NL,2006-05,7.6,C,11.9,C,3.2,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-116.5,49.08,49.08,-116.5,114B1F0.1993.05,114B1F0,May,Monthly,BC,1993-05,17,C,24,C,9.9,C,,mm,,mm,,mm,1012.8,hPa,-9999.9,hPa,,kph
-74.33,45.65,45.65,-74.33,7033650.2005.03,7033650,Mar,Monthly,QC,2005-03,-3.5,C,2.1,C,-9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-61.77,47.43,47.43,-61.77,7053KGR.1993.04,7053KGR,Apr,Monthly,QC,1993-04,,C,,C,,C,,mm,,mm,,mm,1018.4,hPa,-9999.9,hPa,,kph
-87.1,48.8167,48.8167,-87.1,6048231.1992.06,6048231,Jun,Monthly,ON,1992-06,,C,,C,,C,54.7,mm,54.7,mm,0,mm,,hPa,,hPa,,kph
-140.87,62.41,62.41,-140.87,2100160.2002.10,2100160,Oct,Monthly,YT,2002-10,,C,,C,,C,,mm,,mm,,mm,1013.5,hPa,934.3,hPa,,kph
-98.8028,50.4139,50.4139,-98.8028,5041535.1992.05,5041535,May,Monthly,MB,1992-05,,C,,C,,C,34.1,mm,34.1,mm,0,mm,,hPa,,hPa,,kph
-102.57,50.37,50.37,-102.57,4010879.2009.06,4010879,Jun,Monthly,SK,2009-06,14.2,C,21.6,C,6.8,C,,mm,,mm,,mm,1012.4,hPa,941.7,hPa,,kph
-65.4678,47.0095,47.0095,-65.4678,8101000.1995.06,8101000,Jun,Monthly,NB,1995-06,,C,,C,,C,71.9,mm,71.9,mm,0,mm,1013.2,hPa,1009.2,hPa,11,kph
-116.48,53.6,53.6,-116.48,3062242.2004.07,3062242,Jul,Monthly,AB,2004-07,,C,,C,,C,,mm,,mm,,mm,1014.9,hPa,908.1,hPa,,kph
-79.93,43.17,43.17,-79.93,6153193.1997.01,6153193,Jan,Monthly,ON,1997-01,-6.1,C,-1.7,C,-10.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-62.28,82.52,82.52,-62.28,2400302.1996.12,2400302,Dec,Monthly,NU,1996-12,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-128.97,69.93,69.93,-128.97,2202750.2003.04,2202750,Apr,Monthly,NT,2003-04,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,-9999.9,hPa,-9999.9,hPa,,kph
-65.8856,45.3181,45.3181,-65.8856,8104900.2000.08,8104900,Aug,Monthly,NB,2000-08,,C,,C,,C,63.8,mm,63.8,mm,0,mm,1015.8,hPa,1002.8,hPa,11.3,kph
-123.53,48.57,48.57,-123.53,1014820.1995.12,1014820,Dec,Monthly,BC,1995-12,,C,,C,,C,,mm,,mm,,mm,1016.4,hPa,-9999.9,hPa,,kph
-103.72,58.18,58.18,-103.72,4061629.2009.05,4061629,May,Monthly,SK,2009-05,-0.6,C,4.9,C,-6.1,C,,mm,,mm,,mm,1016.7,hPa,956,hPa,,kph
-117.75,49.1,49.1,-117.75,1148700.2012.04,1148700,Apr,Monthly,BC,2012-04,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-115.67,54.13,54.13,-115.67,3067370.2010.11,3067370,Nov,Monthly,AB,2010-11,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-83.3594,64.1933,64.1933,-83.3594,2301000.2008.11,2301000,Nov,Monthly,NU,2008-11,,C,,C,,C,25,mm,0.6,mm,24.4,mm,1016.3,hPa,1007.7,hPa,18.8,kph
-67.23,48.37,48.37,-67.23,7051200.1998.10,7051200,Oct,Monthly,QC,1998-10,5.3,C,9.2,C,1.4,C,92,mm,91.8,mm,0.1,mm,,hPa,,hPa,,kph
-127.3661,50.6803,50.6803,-127.3661,1026270.2017.04,1026270,Apr,Monthly,BC,2017-04,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-109.13,54.02,54.02,-109.13,4064620.2000.08,4064620,Aug,Monthly,SK,2000-08,14.5,C,20.9,C,8.1,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-115.28,56.55,56.55,-115.28,3075488.2013.04,3075488,Apr,Monthly,AB,2013-04,,C,,C,,C,,mm,,mm,,mm,1018.4,hPa,951.6,hPa,,kph
-104.65,49.38,49.38,-104.65,4011441.2014.03,4011441,Mar,Monthly,SK,2014-03,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-129.8333,59.2833,59.2833,-129.8333,1191440.2004.11,1191440,Nov,Monthly,BC,2004-11,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-107.92,51.57,51.57,-107.92,4046884.1999.06,4046884,Jun,Monthly,SK,1999-06,14.3,C,21.1,C,7.4,C,,mm,,mm,,mm,1010.5,hPa,-9999.9,hPa,,kph
-114.1,51.7833,51.7833,-114.1,3024920.1990.03,3024920,Mar,Monthly,AB,1990-03,,C,,C,,C,18.2,mm,0.6,mm,17.5,mm,,hPa,,hPa,,kph
-81.88,42.45,42.45,-81.88,6137154.1991.04,6137154,Apr,Monthly,ON,1991-04,9.6,C,14.4,C,4.8,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-65.78,47.4,47.4,-65.78,8103500.2013.10,8103500,Oct,Monthly,NB,2013-10,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-75.63,45.45,45.45,-75.63,6106100.1994.09,6106100,Sep,Monthly,ON,1994-09,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-70.97,46.07,46.07,-70.97,7027200.2002.05,7027200,May,Monthly,QC,2002-05,8.8,C,14.6,C,2.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-112.28,53.92,53.92,-112.28,3010237.2010.10,3010237,Oct,Monthly,AB,2010-10,5.4,C,12.2,C,-1.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-64.23,50.27,50.27,-64.23,7044328.2011.06,7044328,Jun,Monthly,QC,2011-06,,C,,C,,C,,mm,,mm,,mm,1013.7,hPa,1012.4,hPa,,kph
-105.6167,57.25,57.25,-105.6167,4063755.2014.08,4063755,Aug,Monthly,SK,2014-08,,C,,C,,C,33.3,mm,33.3,mm,0,mm,,hPa,,hPa,,kph
-55.85,52.3,52.3,-55.85,8502592.2005.09,8502592,Sep,Monthly,NL,2005-09,10.4,C,14.3,C,6.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-117.92,49.15,49.15,-117.92,1145730.2005.05,1145730,May,Monthly,BC,2005-05,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-128.65,66.25,66.25,-128.65,2201450.1990.10,2201450,Oct,Monthly,NT,1990-10,-6.3,C,-2.9,C,-9.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-85.67,68.3,68.3,-85.67,2402686.2011.03,2402686,Mar,Monthly,NU,2011-03,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,-9999.9,hPa,-9999.9,hPa,,kph
-77.28,60.05,60.05,-77.28,7106222.2008.05,7106222,May,Monthly,QC,2008-05,,C,,C,,C,,mm,,mm,,mm,1011.3,hPa,1008.4,hPa,,kph
-86.95,49.7,49.7,-86.95,6042715.2001.01,6042715,Jan,Monthly,ON,2001-01,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-65.52,44.75,44.75,-65.52,8200100.2010.05,8200100,May,Monthly,NS,2010-05,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-115.13,67.82,67.82,-115.13,2300904.1994.07,2300904,Jul,Monthly,NU,1994-07,14.6,C,20.7,C,8.5,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-65.32,49.25,49.25,-65.32,7051163.2003.06,7051163,Jun,Monthly,QC,2003-06,14,C,18.7,C,9.4,C,,mm,,mm,,mm,1010.1,hPa,1006.6,hPa,,kph
-57.18,51.45,51.45,-57.18,7040813.1992.03,7040813,Mar,Monthly,QC,1992-03,,C,,C,,C,,mm,,mm,,mm,1005.5,hPa,1001,hPa,,kph
-123.63,48.65,48.65,-123.63,1017230.2016.02,1017230,Feb,Monthly,BC,2016-02,6.1,C,9.7,C,2.6,C,198.4,mm,198.4,mm,0,mm,,hPa,,hPa,,kph
-77.63,44.32,44.32,-77.63,6158050.1996.05,6158050,May,Monthly,ON,1996-05,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-102.97,49.22,49.22,-102.97,4012410.2001.04,4012410,Apr,Monthly,SK,2001-04,5.6,C,11.3,C,0,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-85.28,48.6,48.6,-85.28,6059475.1995.02,6059475,Feb,Monthly,ON,1995-02,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-73.6,46.2,46.2,-73.6,7016902.2006.06,7016902,Jun,Monthly,QC,2006-06,17.5,C,23.5,C,11.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-101.2667,49.1833,49.1833,-101.2667,5012080.1997.09,5012080,Sep,Monthly,MB,1997-09,,C,,C,,C,8.1,mm,8.1,mm,0,mm,,hPa,,hPa,,kph
-72.9,45.3,45.3,-72.9,7022320.2007.02,7022320,Feb,Monthly,QC,2007-02,-13,C,-7.4,C,-18.5,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-89.5167,48.2333,48.2333,-89.5167,6048864.2001.10,6048864,Oct,Monthly,ON,2001-10,,C,,C,,C,72.7,mm,69.9,mm,2.8,mm,,hPa,,hPa,,kph
-71.53,45.37,45.37,-71.53,7027802.2001.04,7027802,Apr,Monthly,QC,2001-04,3.7,C,9.6,C,-2.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-64.35,45.42,45.42,-64.35,8204402.2010.05,8204402,May,Monthly,NS,2010-05,9.6,C,15.9,C,3.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-94.7,56.36,56.36,-94.7,5060999.2006.11,5060999,Nov,Monthly,MB,2006-11,,C,,C,,C,,mm,,mm,,mm,1017.8,hPa,998.8,hPa,,kph
-56.11,50.72,50.72,-56.11,8401538.2001.07,8401538,Jul,Monthly,NL,2001-07,,C,,C,,C,,mm,,mm,,mm,1011,hPa,1007.5,hPa,,kph
-74.6167,45.95,45.95,-74.6167,7030310.2005.01,7030310,Jan,Monthly,QC,2005-01,,C,,C,,C,50.4,mm,17.6,mm,32.8,mm,,hPa,,hPa,,kph
-135.1,60.73,60.73,-135.1,2101310.2020.09,2101310,Sep,Monthly,YT,2020-09,7.8,C,13,C,2.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-91.5833,48.8,48.8,-91.5833,6020384.1999.02,6020384,Feb,Monthly,ON,1999-02,,C,,C,,C,26.1,mm,5.1,mm,21.1,mm,,hPa,,hPa,,kph
-124.5542,49.8761,49.8761,-124.5542,1046390.1999.11,1046390,Nov,Monthly,BC,1999-11,,C,,C,,C,258.2,mm,258.2,mm,0,mm,,hPa,,hPa,,kph
-113.4667,53.6667,53.6667,-113.4667,3012210.1992.09,3012210,Sep,Monthly,AB,1992-09,,C,,C,,C,,mm,,mm,,mm,1011,hPa,929.8,hPa,13.1,kph
-118.2,51,51,-118.2,1176750.2008.05,1176750,May,Monthly,BC,2008-05,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-115.0667,49.0833,49.0833,-115.0667,1153282.1999.04,1153282,Apr,Monthly,BC,1999-04,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
